Date,Article,Coord,Location,Mag,Deaths,Description,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
c. 1920 BC,Jishi Gorge outburst flood,35°N 102°E﻿ / ﻿35°N 102°E,Qinghai / Gansu,,,,,,,
2014-08-03,2014 Ludian earthquake,27°14′42″N 103°25′37″E﻿ / ﻿27.245°N 103.427°E,"Ludian County, Yunnan",6.1 Mw,617,112 missing,,,,
2017-08-08,2017 Jiuzhaigou earthquake,33°12′N 103°49′E﻿ / ﻿33.20°N 103.82°E,"Jiuzhaigou County, Sichuan",6.5 Mw,25,Landslides,,,,
2019-06-17,2019 Sichuan earthquake,28°24′18″N 104°57′25″E﻿ / ﻿28.405°N 104.957°E,"Changning County, Sichuan",5.8 Mw,13,"20,000 houses were damaged",,,,
2020-01-19,2020 Kashgar earthquake,39°50′06″N 77°06′29″E﻿ / ﻿39.835°N 77.108°E,"Jiashi County, Xinjiang",6.0 Mw,1,"2 injured, 1,000 houses damaged",,,,
2020-05-18,2020 Qiaojia earthquake,27°15′58″N 103°17′17″E﻿ / ﻿27.266°N 103.288°E,"Qiaojia County, Yunnan",5.1 Mw,4,"24 injured, extensive damage",,,,
2021-05-21,2021 Dali earthquake,25°45′40″N 100°00′29″E﻿ / ﻿25.761°N 100.008°E,"Dali, Yunnan",6.1 Mw,3,"32 injured, 12,882 houses damaged",,,,
2021-05-22,2021 Maduo earthquake,34°35′10″N 98°15′18″E﻿ / ﻿34.586°N 98.255°E,"Madoi, Qinghai",7.3 Mw,20,"19 people injured (official), 20 dead 300 injured (unofficial)",,,,
2021-08-16,2021 Luxian earthquake,29°11′38″N 105°22′26″E﻿ / ﻿29.194°N 105.374°E,"Lu, Sichuan",5.4 Mw,3,"146 injured, 60k evacuated",,,,
2022-01-07,2022 Menyuan earthquake,37°48′40″N 101°16′30″E﻿ / ﻿37.811°N 101.275°E,"Menyuan, Qinghai",6.6 Mw,0,"Limited damage, 9 injured",,,,
2022-06-01,2022 Ya'an earthquake,30°24′58″N 102°59′20″E﻿ / ﻿30.416°N 102.989°E,"Lushan County, Sichuan",5.9 Mw,4,,,,,
2022-09-05,2022 Luding earthquake,29°43′34″N 102°16′44″E﻿ / ﻿29.726°N 102.279°E,"Kangding, Sichuan",6.6 Mw,93,"30 missing, 423 injured",,,,
2023-12-18,2023 Jishishan earthquake,35°44′35″N 102°49′37″E﻿ / ﻿35.743°N 102.827°E,"Jishishan, Gansu",5.9 Mw,137,"12 missing, 982 injured, 734 Injured, many homes destroyed",,,,
2024-01-22,2024 Uqturpan earthquake,41°16′08″N 78°38′56″E﻿ / ﻿41.269°N 78.649°E,"Uqturpan County, Xinjiang",7.0 Mw,3,74 injuries,,,,
"Note: The inclusion criteria for adding events are based on WikiProject Earthquakes' notability guideline that was developed for stand alone articles. The principles described also apply to lists. In summary, only damaging, injurious, or deadly events should be recorded.","Note: The inclusion criteria for adding events are based on WikiProject Earthquakes' notability guideline that was developed for stand alone articles. The principles described also apply to lists. In summary, only damaging, injurious, or deadly events should be recorded.","Note: The inclusion criteria for adding events are based on WikiProject Earthquakes' notability guideline that was developed for stand alone articles. The principles described also apply to lists. In summary, only damaging, injurious, or deadly events should be recorded.","Note: The inclusion criteria for adding events are based on WikiProject Earthquakes' notability guideline that was developed for stand alone articles. The principles described also apply to lists. In summary, only damaging, injurious, or deadly events should be recorded.","Note: The inclusion criteria for adding events are based on WikiProject Earthquakes' notability guideline that was developed for stand alone articles. The principles described also apply to lists. In summary, only damaging, injurious, or deadly events should be recorded.","Note: The inclusion criteria for adding events are based on WikiProject Earthquakes' notability guideline that was developed for stand alone articles. The principles described also apply to lists. In summary, only damaging, injurious, or deadly events should be recorded.","Note: The inclusion criteria for adding events are based on WikiProject Earthquakes' notability guideline that was developed for stand alone articles. The principles described also apply to lists. In summary, only damaging, injurious, or deadly events should be recorded.","Note: The inclusion criteria for adding events are based on WikiProject Earthquakes' notability guideline that was developed for stand alone articles. The principles described also apply to lists. In summary, only damaging, injurious, or deadly events should be recorded.","Note: The inclusion criteria for adding events are based on WikiProject Earthquakes' notability guideline that was developed for stand alone articles. The principles described also apply to lists. In summary, only damaging, injurious, or deadly events should be recorded.","Note: The inclusion criteria for adding events are based on WikiProject Earthquakes' notability guideline that was developed for stand alone articles. The principles described also apply to lists. In summary, only damaging, injurious, or deadly events should be recorded.","Note: The inclusion criteria for adding events are based on WikiProject Earthquakes' notability guideline that was developed for stand alone articles. The principles described also apply to lists. In summary, only damaging, injurious, or deadly events should be recorded."
